Concurso,Data do Sorteio,Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Coluna 6,Ganhadores Faixa 1,Ganhadores Faixa 2,Ganhadores Faixa 3,Rateio Faixa 1,Rateio Faixa 2,Rateio Faixa 3
242,21/10/2000,4,7,21,22,28,56,0,203,13497,0,"9933,73","148,97"
243,28/10/2000,11,16,20,23,32,47,0,180,13705,0,"12019,97","157,4"
244,4/11/2000,19,24,33,47,50,60,0,204,14735,0,"13698,02","189,08"
245,11/11/2000,8,27,44,51,53,60,3,283,21593,"9153484,88","15838,62","206,96"
246,18/11/2000,2,16,32,37,43,57,0,93,5429,0,"9292,06","158,71"
247,25/11/2000,3,10,23,30,34,46,0,80,6425,0,"12080,19","149,96"
248,2/12/2000,16,32,34,35,41,56,0,50,4862,0,"21550,72","220,96"
249,9/12/2000,21,36,40,49,54,55,0,60,4247,0,"19680,2","277,21"
250,16/12/2000,7,25,41,42,43,55,0,203,15545,0,"10867,31","141,5"
251,23/12/2000,15,23,30,34,49,55,0,180,12813,0,"15473,98","216,73"
252,30/12/2000,4,17,26,32,51,54,2,354,22122,"15107002,24","10070,62","160,67"
253,6/1/2001,11,12,24,37,44,56,0,126,7260,0,"6985,77","120,88"
254,13/01/2001,1,4,21,22,30,56,0,66,6381,0,"16400,47","169,14"
255,20/01/2001,16,19,20,32,44,55,0,80,6812,0,"14363,63","168,19"
256,27/01/2001,2,21,26,32,34,52,0,91,6319,0,"13336,96","191,49"
257,3/2/2001,1,4,5,19,28,34,1,175,11706,"6808483,96","7704,83","114,84"
258,10/2/2001,7,12,50,54,55,60,0,53,3615,0,"15960,68","233,3"
259,17/02/2001,13,15,20,33,43,58,0,65,5581,0,"15136,22","175,77"
260,24/02/2001,4,6,33,43,59,60,0,120,8956,0,"16065,94","214,63"
261,3/3/2001,5,16,20,30,54,56,0,91,7281,0,"22350,19","278,51"
262,10/3/2001,11,20,48,53,58,60,0,108,8838,0,"24643,78","300,24"
263,17/03/2001,8,9,26,43,50,53,0,136,12752,0,"24937,18","265,17"
264,24/03/2001,1,5,13,25,31,33,2,979,50364,"16055880,73","4298,96","83,25"
265,31/03/2001,7,16,34,41,50,53,0,64,3855,0,"14676,59","242,74"
266,7/4/2001,2,23,38,46,48,54,0,89,6687,0,"12318,14","163,33"
267,14/04/2001,1,8,45,46,55,58,0,46,4076,0,"23142,59","260,19"
268,21/04/2001,5,6,10,21,33,47,0,111,10133,0,"10348,29","112,93"
269,28/04/2001,17,18,19,25,49,52,0,110,8717,0,"12115,7","152,31"
270,5/5/2001,5,9,27,35,40,45,1,228,16867,"25186260,21","9665,14","130,16"
271,12/5/2001,14,24,26,29,31,54,0,43,4385,0,"19939,25","194,79"
272,19/05/2001,9,10,24,36,56,58,0,70,5491,0,"14013,37","177,97"
273,26/05/2001,10,17,23,27,47,52,1,92,7241,"3456480,23","11326,92","143,38"
274,2/6/2001,11,13,18,26,39,47,0,142,7420,0,"5488,22","104,64"
275,9/6/2001,16,19,30,37,38,48,0,41,3737,0,"22897,52","250,27"
276,16/06/2001,22,39,45,53,57,59,0,79,5172,0,"12486,98","190,01"
277,23/06/2001,4,26,38,40,52,56,0,95,5404,0,"11578,72","202,78"
278,30/06/2001,10,15,18,22,31,55,0,99,6996,0,"11868,09","167,32"
279,7/7/2001,4,23,31,47,58,59,0,58,6137,0,"23664,88","222,81"
280,14/07/2001,5,16,20,25,30,58,0,192,14673,0,"11199,47",146
281,21/07/2001,5,11,31,38,47,53,1,188,12864,"22414093,5","13574,18","197,63"
282,28/07/2001,9,14,23,24,33,36,1,76,6064,"958878,82","10514,03","131,27"
283,1/8/2001,25,28,34,42,48,54,1,36,2126,"367173,22","8499,38","143,38"
284,4/8/2001,7,8,14,30,32,36,1,75,5358,"901884,48","10020,94","139,74"
285,8/8/2001,12,32,37,41,50,56,0,17,1173,0,"20875,96","301,41"
286,11/8/2001,29,35,37,44,47,56,0,59,3739,0,"13743,96","216,06"
287,15/08/2001,3,13,25,33,47,60,1,110,5633,"1931474,8","4034,34","78,49"
288,18/08/2001,6,9,11,17,18,50,0,82,4763,0,"8749,64","150,07"
289,22/08/2001,6,7,20,25,30,36,0,29,2197,0,"13819,12","181,72"
290,25/08/2001,7,25,26,30,40,57,0,56,4869,0,"20662,23","236,75"
291,29/08/2001,5,16,17,18,22,41,0,71,4870,0,"11244,78","163,32"
292,1/9/2001,13,23,24,34,45,53,0,116,8670,0,"11313,3","150,8"
293,5/9/2001,5,6,7,12,28,35,0,167,10185,0,"5817,88","95,03"
294,8/9/2001,22,25,28,41,45,57,2,130,7434,"7696680,33","9839,13","171,41"
295,12/9/2001,7,12,24,31,44,50,0,36,2055,0,"10242,27","178,75"
296,15/09/2001,3,20,42,46,51,52,0,29,2348,0,"26582,95","327,09"
297,19/09/2001,1,20,28,33,36,41,0,25,1920,0,"19353,56","251,05"
298,22/09/2001,5,22,23,24,34,60,1,50,4372,"2994572,21","17440,22","198,71"
299,26/09/2001,2,5,7,33,49,53,0,33,2049,0,"10538,82","169,09"
300,29/09/2001,24,27,28,38,41,57,0,48,4820,0,"22820,73","226,4"
301,3/10/2001,9,26,48,49,57,58,0,28,2892,0,"29571,34","285,22"
302,6/10/2001,12,25,30,40,41,60,0,101,6361,0,"13505,06","213,63"
303,10/10/2001,7,13,17,30,37,47,1,215,12861,"12257748,27","4674,95","77,86"
304,13/10/2001,7,11,34,41,42,59,0,58,3274,0,"11050,1","195,02"
305,17/10/2001,5,11,27,38,53,60,0,47,3770,0,"10013,62","124,37"
306,20/10/2001,19,30,41,47,56,57,0,28,2294,0,"29736,18","361,58"
307,24/10/2001,13,16,17,26,41,44,0,44,3962,0,"12632,8","139,76"
308,27/10/2001,4,11,25,29,39,55,1,62,5173,"4138172,99","15297,99","182,67"
309,31/10/2001,4,11,25,39,50,55,1,3001,2997,"442899,06","122,53","122,69"
310,3/11/2001,2,14,28,29,31,32,0,81,5093,0,"10544,47","167,07"
311,7/11/2001,22,24,30,32,38,41,0,31,2871,0,"25454,68","273,81"
312,10/11/2001,14,23,30,41,47,50,0,76,4985,0,"15889,75","241,33"
313,14/11/2001,14,16,24,37,38,53,0,61,5547,0,"15665,21","171,62"
314,17/11/2001,5,32,34,37,40,58,0,93,5542,0,"12287,32","205,42"
315,21/11/2001,12,21,22,28,43,50,1,43,4598,"13675105,67","24188,06","225,35"
316,24/11/2001,6,24,28,43,51,56,0,104,4093,0,"6446,33","163,18"
317,28/11/2001,16,20,27,30,35,48,0,23,2088,0,"18858,99","206,96"
318,1/12/2001,3,19,20,31,40,53,1,46,3071,"2227008,03","16340,54","243,84"
319,5/12/2001,12,16,17,19,23,48,0,52,3342,0,"7242,06","112,26"
